phase_index,veh_approach,v_approach,prog_len,halt_approach,phase_remaining,y_extend,action,junction_id,approach_edge_id,t
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,116.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,116.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,116.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,116.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,116.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,116.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,116.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,116.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,116.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,117.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,117.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,117.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,117.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,117.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,117.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,117.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,117.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,117.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,118.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,118.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,118.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,118.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,118.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,118.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,118.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,118.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,118.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,119.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,119.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,119.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,119.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,119.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,119.6
