dist_to_tls,ambulance_speed,queue_length,eta_seconds,phase_index,phase_remaining,y_extend,action,junction_id,approach_edge_id,t
166.5889525288387,18.8605500549271,0.0,8.832666706097433,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:1879453104_0,187.4
164.6940031640598,18.94949364778885,0.0,8.691208653128173,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:1879453104_0,187.5
162.78854159175432,19.05461572305485,0.0,8.543260276552873,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:1879453104_0,187.6
160.875547032739,19.129945590152982,0.0,8.409618640815616,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:1879453104_0,187.7
158.96627827039765,19.092687623413784,0.0,8.326029389149687,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:1879453104_0,187.8
157.0507387836167,19.155394867809214,0.0,8.198773236856718,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:1879453104_0,187.9
155.13710430587878,19.136344777379314,0.0,8.106935055291396,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.0
153.21490981342447,19.22194492454319,0.0,7.970832837929673,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.1
151.29432765791776,19.205821555066983,0.0,7.877524386245403,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.2
149.3662347295569,19.280929283608632,0.0,7.746837952283668,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.3
147.4277866068343,19.384481227225994,0.0,7.605454325998069,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.4
145.49260418182232,19.351824250119872,0.0,7.518288834238513,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.5
143.55088027511064,19.417239067116746,0.0,7.392960439891541,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.6
141.6111823142542,19.396979608564532,0.0,7.3006821253617895,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.7
139.66142809157873,19.497542226754756,0.0,7.163027343001913,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.8
137.69153998468437,19.698881068943614,0.0,6.989815284572827,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,188.9
135.72114302457442,19.70396960109921,0.0,6.888010171158762,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,189.0
133.74255872377324,19.785843008011923,0.0,6.759507728309407,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,189.1
131.74988863189606,19.926700918771907,0.0,6.611726104032672,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#0,189.2
129.7468219372821,20.030666946139302,0.0,6.477408979249661,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.3
127.73885620294946,20.07965734332651,0.0,6.361605380950565,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.4
125.71784963287135,20.210065700781197,0.0,6.220556206703073,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.5
123.69195191477517,20.25897718096175,0.0,6.105537846748449,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.6
121.66183265423916,20.301192605360175,0.0,5.992841653160637,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.7
119.61599277989079,20.458398743483645,0.0,5.846791544132483,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.8
117.55909019398604,20.56902585904748,0.0,5.715345539432854,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,:9855153555_3,189.9
115.4901926847659,20.688975092201392,45.0,5.58220947002345,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.0
113.42328248510162,20.669101996642784,45.0,5.487576697987392,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.1
111.3327164147492,20.905660703524262,45.0,5.3254818392791,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.2
109.2354146987251,20.97301716024106,45.0,5.208378645005102,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.3
107.12176715478292,21.136475439421794,45.0,5.068099809819254,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.4
104.99663779173027,21.251293630526472,45.0,4.940717474295663,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.5
102.85797152185557,21.386662698746914,45.0,4.809444697880901,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.6
100.7081398234246,21.498316984309643,45.0,4.684466225748069,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.7
98.54197187423293,21.661679491916804,45.0,4.54913811789176,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.8
96.35788146119492,21.840904130380103,45.0,4.411808269748492,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,190.9
94.17427125373055,21.836102074643577,45.0,4.312778486371301,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.0
91.97425422789726,22.000170258332957,45.0,4.180615565602742,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.1
89.75148694609368,22.227672818035803,45.0,4.037826527357747,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.2
87.51766712864446,22.338198174492177,45.0,3.9178480934321835,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.3
85.26990663277215,22.47760495872325,45.0,3.793549481332977,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.4
83.00174404066769,22.681625921044446,45.0,3.6594265477086934,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.5
80.71853331592308,22.832107247446057,45.0,3.5353080835301376,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.6
78.42749215567932,22.910411602437616,67.5,3.4232249300721778,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.7
76.12065233873568,23.06839816943651,67.5,3.2997805820600274,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.8
73.80745291476586,23.131994239698052,67.5,3.190708598228031,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,191.9
71.47173671900387,23.357161957620068,67.5,3.0599495284865657,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.0
69.1205714852205,23.511652337833603,67.5,2.9398432101684167,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.1
66.7548857220525,23.656857631679962,67.5,2.821798514467874,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.2
64.36636545460685,23.885202674456536,67.5,2.6948218247041265,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.3
61.96258482217875,24.037806324281036,67.5,2.577713789115157,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.4
59.53712944670345,24.254553754752955,67.5,2.4546784100299712,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.5
57.09710987009651,24.400195766069423,67.5,2.340026711978064,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.6
54.64380048380227,24.533093862942383,67.5,2.2273505652844943,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.7
52.175043501788835,24.687569820134346,67.5,2.113413506550841,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.8
49.68999233405252,24.850511677363176,67.5,1.9995561048876156,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,192.9
47.1942653390838,24.95726994968722,67.5,1.8910027192167014,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.0
44.67687344312721,25.173918959565967,67.5,1.7747285798006516,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.1
42.1370390497747,25.398343933525073,67.5,1.6590467142290737,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.2
39.58476267104467,25.522763787300242,67.5,1.5509590967864333,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.3
37.01789159042498,25.66871080619688,67.5,1.442140661832078,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.4
34.43453359758388,25.83357992841101,45.0,1.3329369639441182,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.5
31.83045377361195,26.040798239719248,45.0,1.2223301866784526,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.6
29.213371001062285,26.170827725496682,45.0,1.1162570518394965,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.7
26.58159378017143,26.317772208908565,45.0,1.0100244644253575,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.8
23.93532647570194,26.46267304469492,45.0,0.9044939048778503,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,193.9
21.266228620456445,26.690978552455007,45.0,0.7967571731648033,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.0
18.586295967339197,26.799326531172483,45.0,0.693535934409395,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.1
15.880736945865777,27.055590214734185,45.0,0.5869669380643302,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.2
13.164704877978565,27.16032067887207,45.0,0.48470358776799527,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.3
10.431983198489718,27.327216794888503,45.0,0.381743346817558,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.4
7.683894635966325,27.48088562523398,45.0,0.2796086975053921,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.5
4.916923634496982,27.669710014693447,45.0,0.1777005842087231,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.6
2.13935043172701,27.775732027699707,45.0,0.07702228800283338,0.0,12.0,12.0,extend,cluster_1958700822_1958700826_9855153560,1059655617#1,194.7
198.86506252326652,13.813590496568942,0.0,14.39633399966947,0.0,5.999999999999998,6.0,extend,1845392981,-361657080#0,11.4
